"No.","Time","Source","Destination","Protocol","Length","Info"
"18","2025/047 01:08:28.168451","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","TCP","74","52889  >  443 [ACK] Seq=3981 Ack=4107 Win=252 Len=0"
"19","2025/047 01:08:28.168981","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","HTTP2","105","SETTINGS[0]"
"20","2025/047 01:08:28.169174","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","TCP","74","443  >  52889 [ACK] Seq=4107 Ack=3981 Win=1038 Len=0"
"21","2025/047 01:08:28.170342","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","1292","Protected Payload (KP0)"
"22","2025/047 01:08:28.171082","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","228","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"23","2025/047 01:08:28.177786","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:7c5::","QUIC","1292","Initial, DCID=6c169c976279a227, PKN: 1, CRYPTO"
"24","2025/047 01:08:28.177951","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:7c5::","QUIC","1292","Initial, DCID=6c169c976279a227, PKN: 2, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO, PADDING, PING, CRYPTO, PING, PING, PING, PADDING, PING, PING, CRYPTO, PADDING, CRYPTO, CRYPTO, PING, PING, CRYPTO, CRYPTO, PADDING"
"25","2025/047 01:08:28.184857","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","646","Protected Payload (KP0)"
"26","2025/047 01:08:28.184857","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","183","Protected Payload (KP0)"
"27","2025/047 01:08:28.184857","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","TCP","74","443  >  52889 [ACK] Seq=4107 Ack=4012 Win=1038 Len=0"
"28","2025/047 01:08:28.185214","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","93","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"29","2025/047 01:08:28.187960","2600:1901:1:7c5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","102","Initial, SCID=ec169c976279a227, PKN: 1, ACK"
"30","2025/047 01:08:28.189848","2600:1901:1:7c5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","1292","Initial, SCID=ec169c976279a227, PKN: 2, ACK, PADDING"
"31","2025/047 01:08:28.201998","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:7c5::","TCP","86","52890  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"32","2025/047 01:08:28.202236","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:7c5::","QUIC","1292","Initial, DCID=ec169c976279a227, PKN: 4, PADDING, PING, PADDING"
"33","2025/047 01:08:28.202477","10.0.0.4","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"34","2025/047 01:08:28.202862","fe80::516e:990b:e6dc:35ff","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"35","2025/047 01:08:28.213082","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","86","Protected Payload (KP0)"
"36","2025/047 01:08:28.213082","2600:1901:1:7c5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","TCP","86","443  >  52890 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1432 SACK_PERM WS=256"
"37","2025/047 01:08:28.213082","2600:1901:1:7c5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","1292","Initial, SCID=ec169c976279a227, PKN: 3, ACK, PADDING"
"38","2025/047 01:08:28.213228","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:7c5::","TCP","74","52890  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"39","2025/047 01:08:28.213910","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:7c5::","TLSv1.3","2163","Client Hello (SNI=spclient.wg.spotify.com)"
"40","2025/047 01:08:28.227624","2600:1901:1:7c5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","TCP","74","443  >  52890 [ACK] Seq=1 Ack=1433 Win=268032 Len=0"
"41","2025/047 01:08:28.227624","2600:1901:1:7c5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","TCP","74","443  >  52890 [ACK] Seq=1 Ack=2090 Win=267520 Len=0"
"42","2025/047 01:08:28.240712","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","HTTP2","325","HEADERS[1]: 200 OK"
"43","2025/047 01:08:28.240712","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","HTTP2/JSON","366","DATA[1], JSON (application/json)"
"44","2025/047 01:08:28.240805","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","TCP","74","52889  >  443 [ACK] Seq=4012 Ack=4650 Win=250 Len=0"
"45","2025/047 01:08:28.241402","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:7c5::","QUIC","1292","Initial, DCID=ec169c976279a227, PKN: 6, PADDING, PING, PADDING"
"46","2025/047 01:08:28.241929","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","HTTP2","113","PING[0]"
"47","2025/047 01:08:28.242357","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","HTTP2","113","PING[0]"
"48","2025/047 01:08:28.244696","2600:1901:1:7c5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","HTTP3","1292","Protected Payload (KP0), PKN: 6, STREAM(3), SETTINGS"
"49","2025/047 01:08:28.246111","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:7c5::","QUIC","1292","Handshake, DCID=ec169c976279a227, PKN: 8, ACK"
"50","2025/047 01:08:28.246450","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:7c5::","QUIC","145","Handshake, DCID=ec169c976279a227, PKN: 9, CRYPTO"
"51","2025/047 01:08:28.246573","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:7c5::","HTTP3","133","Protected Payload (KP0), DCID=ec169c976279a227, PKN: 10, STREAM(2), SETTINGS"
"52","2025/047 01:08:28.246835","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:7c5::","HTTP3","1288","Protected Payload (KP0), DCID=ec169c976279a227, PKN: 11, ACK, STREAM(2), PRIORITY_UPDATE, STREAM(10), STREAM(0), HEADERS: POST /ad-logic/prefetch"
"53","2025/047 01:08:28.246875","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:7c5::","QUIC","1292","Protected Payload (KP0), DCID=ec169c976279a227, PKN: 12, STREAM(0)"
"54","2025/047 01:08:28.246909","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:7c5::","HTTP3","323","Protected Payload (KP0), DCID=ec169c976279a227, PKN: 13, STREAM(0), DATA"
"55","2025/047 01:08:28.251577","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","TCP","74","443  >  52889 [ACK] Seq=4689 Ack=4051 Win=1038 Len=0"
"56","2025/047 01:08:28.251577","2600:1901:1:7c5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","HTTP3","1292","Protected Payload (KP0), PKN: 9, STREAM(3), SETTINGS"
"57","2025/047 01:08:28.251962","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:7c5::","HTTP3","230","Protected Payload (KP0), DCID=ec169c976279a227, PKN: 15, ACK, STREAM(2), SETTINGS"
"58","2025/047 01:08:28.259167","2600:1901:1:7c5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","646","Protected Payload (KP0), PKN: 10, CRYPTO"
"59","2025/047 01:08:28.259167","2600:1901:1:7c5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","183","Protected Payload (KP0), PKN: 11, DONE, NT, NCI"
"60","2025/047 01:08:28.259167","2600:1901:1:7c5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","HTTP3","89","Protected Payload (KP0), PKN: 12, ACK, STREAM(7)"
"61","2025/047 01:08:28.259167","2600:1901:1:7c5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","85","Protected Payload (KP0), PKN: 13, ACK"
"62","2025/047 01:08:28.259529","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:7c5::","QUIC","95","Protected Payload (KP0), DCID=ec169c976279a227, PKN: 16, ACK"
"63","2025/047 01:08:28.259653","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:7c5::","QUIC","95","Protected Payload (KP0), DCID=ec169c976279a227, PKN: 17, ACK"
"64","2025/047 01:08:28.259747","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:7c5::","QUIC","95","Protected Payload (KP0), DCID=ec169c976279a227, PKN: 18, ACK"
"65","2025/047 01:08:28.270525","2600:1901:1:7c5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","87","Protected Payload (KP0), PKN: 14, ACK"
"66","2025/047 01:08:28.284811","2600:1901:1:7c5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","TLSv1.3","286","Server Hello, Change Cipher Spec, Encrypted Extensions, Finished"
"67","2025/047 01:08:28.285229","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:7c5::","TLSv1.3","138","Change Cipher Spec, Finished"
"68","2025/047 01:08:28.294123","2600:1901:1:7c5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","TCP","74","443  >  52890 [ACK] Seq=213 Ack=2154 Win=267520 Len=0"
"69","2025/047 01:08:28.294411","2600:1901:1:7c5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","HTTP2","692","SETTINGS[0], WINDOW_UPDATE[0]"
"70","2025/047 01:08:28.317368","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1288","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"71","2025/047 01:08:28.317476","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"72","2025/047 01:08:28.317500","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"73","2025/047 01:08:28.317516","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"74","2025/047 01:08:28.317536","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"75","2025/047 01:08:28.317552","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"76","2025/047 01:08:28.317568","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"77","2025/047 01:08:28.317587","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"78","2025/047 01:08:28.317615","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"79","2025/047 01:08:28.317651","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"80","2025/047 01:08:28.317679","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"81","2025/047 01:08:28.317698","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"82","2025/047 01:08:28.317753","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"83","2025/047 01:08:28.317769","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"84","2025/047 01:08:28.317787","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"85","2025/047 01:08:28.317804","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"86","2025/047 01:08:28.317824","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"87","2025/047 01:08:28.317842","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"88","2025/047 01:08:28.327672","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"89","2025/047 01:08:28.327798","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"90","2025/047 01:08:28.327828","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"91","2025/047 01:08:28.327852","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","670","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"92","2025/047 01:08:28.327945","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","89","Protected Payload (KP0)"
"93","2025/047 01:08:28.329108","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","85","Protected Payload (KP0)"
"94","2025/047 01:08:28.331306","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","85","Protected Payload (KP0)"
"95","2025/047 01:08:28.335771","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","85","Protected Payload (KP0)"
"96","2025/047 01:08:28.335771","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","85","Protected Payload (KP0)"
"97","2025/047 01:08:28.336366","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","85","Protected Payload (KP0)"
"98","2025/047 01:08:28.338366","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","85","Protected Payload (KP0)"
"99","2025/047 01:08:28.340628","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","85","Protected Payload (KP0)"
"100","2025/047 01:08:28.342125","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","85","Protected Payload (KP0)"
"101","2025/047 01:08:28.344131","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","85","Protected Payload (KP0)"
"102","2025/047 01:08:28.344939","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:7c5::","TCP","74","52890  >  443 [ACK] Seq=2154 Ack=831 Win=64512 Len=0"
"103","2025/047 01:08:28.345119","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","85","Protected Payload (KP0)"
"104","2025/047 01:08:28.353047","2600:1901:1:7c5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","HTTP3","406","Protected Payload (KP0), PKN: 15, PADDING, STREAM(11), STREAM(0), HEADERS: 200 OK, DATA"
"105","2025/047 01:08:28.353343","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","94","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"106","2025/047 01:08:28.381872","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:7c5::","HTTP3","98","Protected Payload (KP0), DCID=ec169c976279a227, PKN: 19, ACK, STREAM(6)"
"107","2025/047 01:08:28.416729","2600:1901:1:7c5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","86","Protected Payload (KP0), PKN: 16, ACK"
"108","2025/047 01:08:28.440290","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","397","Protected Payload (KP0)"
"109","2025/047 01:08:28.472882","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","98","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"110","2025/047 01:08:28.495331","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1288","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"111","2025/047 01:08:28.495471","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"112","2025/047 01:08:28.495520","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"113","2025/047 01:08:28.495538","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"114","2025/047 01:08:28.495558","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"115","2025/047 01:08:28.495575","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"116","2025/047 01:08:28.495601","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"117","2025/047 01:08:28.495620","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"118","2025/047 01:08:28.495640","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"119","2025/047 01:08:28.495659","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"120","2025/047 01:08:28.495679","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"121","2025/047 01:08:28.495698","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"122","2025/047 01:08:28.495716","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"123","2025/047 01:08:28.495736","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"124","2025/047 01:08:28.495760","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"125","2025/047 01:08:28.504957","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","89","Protected Payload (KP0)"
"126","2025/047 01:08:28.505407","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1292","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"127","2025/047 01:08:28.505531","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","1158","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"128","2025/047 01:08:28.506445","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","85","Protected Payload (KP0)"
"129","2025/047 01:08:28.508208","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","85","Protected Payload (KP0)"
"130","2025/047 01:08:28.509728","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","85","Protected Payload (KP0)"
"131","2025/047 01:08:28.511440","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","85","Protected Payload (KP0)"
"132","2025/047 01:08:28.513415","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","85","Protected Payload (KP0)"
"133","2025/047 01:08:28.514918","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","85","Protected Payload (KP0)"
"134","2025/047 01:08:28.516897","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","85","Protected Payload (KP0)"
"135","2025/047 01:08:28.518534","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","85","Protected Payload (KP0)"
"136","2025/047 01:08:28.603324","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","186","Protected Payload (KP0)"
"137","2025/047 01:08:28.640424","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","98","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"138","2025/047 01:08:28.648519","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","140","Protected Payload (KP0)"
"139","2025/047 01:08:28.648910","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2600:1901:1:5a5::","QUIC","95","Protected Payload (KP0), DCID=fdfa0b6eebec076a"
"140","2025/047 01:08:28.685740","2600:1901:1:5a5::","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","QUIC","86","Protected Payload (KP0)"
"141","2025/047 01:08:28.710188","10.0.0.138","239.255.255.250","SSDP","446","NOTIFY * HTTP/1.1 "
"142","2025/047 01:08:28.710188","10.0.0.138","239.255.255.250","SSDP","518","NOTIFY * HTTP/1.1 "
"143","2025/047 01:08:28.710188","10.0.0.138","239.255.255.250","SSDP","455","NOTIFY * HTTP/1.1 "
"144","2025/047 01:08:28.710188","10.0.0.138","239.255.255.250","SSDP","514","NOTIFY * HTTP/1.1 "
"145","2025/047 01:08:28.710188","10.0.0.138","239.255.255.250","SSDP","455","NOTIFY * HTTP/1.1 "
"146","2025/047 01:08:28.710188","10.0.0.138","239.255.255.250","SSDP","494","NOTIFY * HTTP/1.1 "
"147","2025/047 01:08:28.710188","10.0.0.138","239.255.255.250","SSDP","455","NOTIFY * HTTP/1.1 "
"148","2025/047 01:08:28.710188","10.0.0.138","239.255.255.250","SSDP","508","NOTIFY * HTTP/1.1 "
"149","2025/047 01:08:28.710188","10.0.0.138","239.255.255.250","SSDP","526","NOTIFY * HTTP/1.1 "
"150","2025/047 01:08:28.710188","10.0.0.138","239.255.255.250","SSDP","510","NOTIFY * HTTP/1.1 "
"151","2025/047 01:08:28.710188","10.0.0.138","239.255.255.250","SSDP","510","NOTIFY * HTTP/1.1 "
